Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index,NIO Yest_Close,GM Yest_Close,TM Yest_Close,F Yest_Close,RACE Yest_Close
2020-02-10,53.33333206176758,54.66600036621094,50.15999984741211,51.41866683959961,51.41866683959961,370338000,0.73,0.0,-0.88,0.006,49.871334075927734,0.031026496329857618,41.754699897766116,39.33756402822641,46.63697619384279,41.468938819492244,5.168037374350547,68.50707353893257,-0.125538,3.809999942779541,32.90693664550781,142.33999633789062,7.2604827880859375,162.41128540039062
2020-02-11,51.25266647338867,52.23400115966797,50.53333282470703,51.62533187866211,51.62533187866211,175462500,0.28,0.05,1.04,0.006,51.41866683959961,0.004019260937028785,42.586433219909665,39.79266654120551,47.40441552996884,42.2212642312826,5.183151298686234,68.74123859980219,-0.201852,3.869999885559082,33.51360321044922,141.27999877929688,7.215721130371094,163.18069458007812
2020-02-12,51.858001708984375,52.650001525878906,50.891334533691406,51.15266799926758,51.15266799926758,180337500,0.66,0.15,-0.35,0.006,51.62533187866211,-0.009155657933695409,43.351000022888186,40.19838087899344,47.981069756014804,42.88284969557779,5.098220060437015,67.5049642118977,-0.287455,3.9600000381469727,34.25726318359375,142.11000061035156,7.251531600952148,166.69656372070312
2020-02-13,49.45600128173828,54.53333282470703,49.0,53.599998474121094,53.599998474121094,394339500,-0.09,0.2,0.0,0.006,51.15266799926758,0.047843652551780046,44.302666664123535,40.660505623653016,48.84552032803116,43.67671256806248,5.168807759968679,70.46662605240563,-0.382372,4.070000171661377,34.726951599121094,142.42999267578125,7.376865386962891,169.25796508789062
2020-02-14,52.4813346862793,54.198001861572266,52.366668701171875,53.33533477783203,53.33533477783203,235405500,0.15,-0.38,-0.66,0.006,53.599998474121094,-0.004937755668348502,45.25780010223389,41.08299992879232,49.5362610126159,44.39216606508244,5.1440949475334605,69.72650495253879,-0.486635,4.03000020980835,34.531246185302734,141.10000610351562,7.385818004608154,167.81655883789062
2020-02-18,56.106666564941406,57.33333206176758,55.490665435791016,57.22666549682617,57.22666549682617,245725500,-0.19,0.16,-0.64,0.006,53.33533477783203,0.07295971301583559,46.417466735839845,41.603763334212765,50.71940016403287,45.342869726693095,5.376530437339774,74.04326427280334,-0.996919,3.7699999809265137,34.012638092041016,140.14999389648438,7.251531600952148,168.74179077148438
2020-02-19,61.56666564941406,62.98533248901367,60.06800079345703,61.16133117675781,61.16133117675781,381345000,0.6,0.18,0.03,0.006,57.22666549682617,0.06875580895325553,47.65153331756592,42.2149373292923,52.32585108906747,46.51460761188307,5.811243477184398,77.53190260568793,-1.14754,3.799999952316284,33.670166015625,139.3800048828125,7.215721130371094,173.0367889404297
2020-02-20,60.79666519165039,60.79999923706055,57.3293342590332,59.96066665649414,59.96066665649414,264523500,-0.35,0.49,0.66,0.006,61.16133117675781,-0.019631105097986188,48.75103321075439,42.75268670284387,53.50043809944081,47.510611985557965,5.989826113882842,74.25235001377882,-1.30744,4.079999923706055,34.1692008972168,137.83999633789062,7.162006378173828,174.53663635253906
2020-02-21,60.46533203125,60.87066650390625,58.6966667175293,60.06666564941406,60.06666564941406,214722000,-1.12,-0.11,0.02,0.006,59.96066665649414,0.0017678087791647573,49.84703311920166,43.26192137774299,54.51062695328285,48.44069003473249,6.069936918550361,74.35548201469959,-1.47668,4.260000228881836,34.531246185302734,139.11000061035156,7.188863277435303,173.2121124267578
2020-02-24,55.93333435058594,57.56666564941406,54.813331604003906,55.58599853515625,55.58599853515625,227883000,-3.39,0.18,0.01,0.006,60.06666564941406,-0.07459490327646513,50.74359970092773,43.6140378679548,54.67606873510953,48.96997214587499,5.706096589234541,62.88842014281729,-2.04174,4.079999923706055,33.90501022338867,139.0399932861328,7.063527584075928,168.39117431640625
